Adapt,Venture Fund,"Pre-SeedSeed,Series A",www.adaptvc.co,"Health & WellnessHealthcareConsumerDelivery,Food and BeverageHR TechSoftwareComputerCRM,MobileProductivity ToolsEntertainment & Media"
Adara Ventures,Venture Fund,"SeedSeries A,Series B",http://www.adara.vc,"Artificial Intelligence & Machine Learning (AI/ML)B2BB2C,CloudTechE-CommerceFinTechSaaS"
Addition,Venture Fund,"Pre-SeedSeed,Series A",www.addition.com,"Big Data & AnalyticsSoftwareCloudTech,Information Technology,Artificial Intelligence & Machine Learning (AI/ML)Computer,Advertising (AdTech)SaaSDeveloper ToolsRobotics,ConsumerHealthcareInsurTechMedical Device,EnergyClimateTech & CleanTech"
Adit Ventures,Venture Fund,"SeedSeries A,Series BSeries C","https://www.aditventures.com",Telecommunications (TMT)
Adit Ventures,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.aditventures.com,CloudTechInformation TechnologySoftware
Investor Name,Fund Type,Fund Stage,Website (if available),Fund Focus (Sectors)
Adjuvant Capital,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.adjuvantcapital.com,SoftwareMobileSaaSConsumerFinTech
Adobe,Corporate VC,"Series BSeries C,Series D",http://www.adobe.com,"Advertising (AdTech)Big Data & Analytics,Marketing (MarTech)SaaSCloudTechCollaboration,Productivity Tools"
Advance Venture Partners,Venture Fund,"Pre-SeedSeed,Series A",www.avp.vc,"Artificial Intelligence & Machine Learning (AI/ML),Big Data & AnalyticsDeveloper ToolsAdvertising (AdTech),Marketing (MarTech)InsurTechPropTech"
Advanced Technology Ventures,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.atvcapital.com,SoftwareMobileSaaSConsumerFinTech
Advantage Capital,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series DSeries C",www.advantagecap.com,"AgTech (FarmTech)ClimateTech & CleanTechE-Commerce,HealthcareImpact InvestingIoT (Internet of Things),Life ScienceManufacturingOil & GasSaaS,Telecommunications (TMT)B2B"
AE Industrial Partners,Venture Fund,Series CSeries D,http://www.aeroequity.com/,"SpaceTechTransportationEnergy,ClimateTech & CleanTech"
Affinity Capital Management,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D","www.affinitycapitalmanagement.com",SoftwareMobileSaaSConsumerFinTech
Affirm,Corporate VC,Series ASeries B,https://affirm.com,FinTech
AFI Capital Partners,Venture Fund,"SeedSeries A,Series B","http://www.aficapitalpartners.com/","CannabisManufacturingSaaS,Telecommunications (TMT)"
Afore Capital,Venture Fund,Seed,www.afore.vc,"Artificial Intelligence & Machine Learning (AI/ML)CloudTech,Big Data & AnalyticsDeveloper Tools,Information TechnologyE-CommerceComputer,CybersecuritySoftwareConsumerInsurTech"
AFSquare,Venture Fund,"Pre-SeedSeed,Series A",www.afsquare.com,SoftwareMobileSaaSConsumerFinTech
Ag Startup Engine,Venture Fund,"Pre-SeedSeed,Series A",www.agstartupengine.com,BioTechHealthcarePharmaceuticals
Investor Name,Fund Type,Fund Stage,Website (if available),Fund Focus (Sectors)
AgFunder,Venture Fund,"SeedSeries A,Series CSeries D,Series B",www.agfunder.com,"AgTech (FarmTech)Big Data & Analytics,ClimateTech & CleanTechRestaurantTech,IoT (Internet of Things)Life ScienceRoboticsSaaS"
Agilent Technologies,Corporate VC,Series BSeries C,http://www.agilent.com,BioTechLife ScienceHealthcare
Agility Capital,Venture Fund,"SeedSeries A,Series B",http://www.agilitycap.com,DeliveryFood and BeverageRestaurantTech
Agya Ventures,Venture Fund,"Pre-SeedSeed,Series A",https://agyaventures.com/,"Augmented & Virtual Reality (AR/VR)Construction Tech,IoT (Internet of Things)Micro-MobilityPropTech"
Ahren Innovation Capital,Venture Fund,"SeedSeries A,Series BSeries C,Series D","http://www.ahreninnovationcapital.com/",HealthcareFood and Beverage
AI Fund,Accelerator,"Pre-SeedSeed,Series A",www.aifund.ai,Artificial Intelligence & Machine Learning (AI/ML)SaaS
Air Street Capital,Venture Fund,"SeedSeries A,Series B",https://www.airstreet.com,"Big Data & Analytics,Artificial Intelligence & Machine Learning (AI/ML)Software,Creator Economy"
Airbus Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.airbusventures.vc,"Artificial Intelligence & Machine Learning (AI/ML),TransportationLogisticsRoboticsSpaceTechBioTech,HealthcareIoT (Internet of Things)Life ScienceTravel,CollaborationSoftwareCloudTechMobileSaaS,Big Data & Analytics"
AirTree Ventures,Venture Fund,"SeedSeries A,Series B",http://www.airtree.vc,"AgTech (FarmTech)Information Technology,Productivity ToolsSaaSSoftwareE-Commerce,Developer ToolsEntertainment & Media,Big Data & Analytics"
Aisling Capital,Venture Fund,"SeedSeries A,Series BSeries C,Series D","http://www.aislingcapital.com",HealthcareMedical Device
Akkadian Ventures,Venture Fund,Series CSeries D,http://www.akkadian.vc,"AppsFinTechSaaSAdvertising (AdTech),Marketing (MarTech)Big Data & AnalyticsMobile,CybersecurityEnterpriseRisk Management,Augmented & Virtual Reality (AR/VR)"
Investor Name,Fund Type,Fund Stage,Website (if available),Fund Focus (Sectors)
AlbionVC,Venture Fund,"SeedSeries A,Series B",https://www.albion.vc/,HealthcareMedical Device
Album VC,Venture Fund,"Pre-SeedSeed,Series A",www.album.vc,"CybersecurityRisk ManagementSaaSConsulting,Sales AutomationEdTechEnterpriseMobileSoftware,Marketing (MarTech)AppsCMSLegal Tech,Productivity ToolsConsumerInformation Technology,Food and BeverageHospitalityHR TechPropTech,E-CommerceFinTechMarketplaceRestaurantTech,Augmented & Virtual Reality (AR/VR)"
